Statistical profiling result from isolate-0x104000c00-v8.log, (237491 ticks, 256 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseIfStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseConditionalExpression(bool, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseArguments(v8::internal::Scanner::Location*, bool, bool*, bool*)
      1    0.0%    0.0%  t v8::internal::PagedSpace::is_local()
      1    0.0%    0.0%  t v8::internal::PagedSpace::Waste()
      1    0.0%    0.0%  t v8::internal::NewSpace::SupportsInlineAllocation()
      1    0.0%    0.0%  t v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>::VisitEmbeddedPointer(v8::internal::Code*, v8::internal::RelocInfo*)
      1    0.0%    0.0%  t v8::internal::LocalAllocator::NewLocalAllocationBuffer()
      1    0.0%    0.0%  t v8::internal::IncrementalMarkingRootMarkingVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::Handle<v8::internal::TransitionArray> v8::internal::Factory::NewWeakFixedArrayWithMap<v8::internal::TransitionArray>(v8::internal::Heap::RootListIndex, int, v8::internal::PretenureFlag)
      1    0.0%    0.0%  t v8::internal::FunctionCallbackArguments::Call(v8::internal::CallHandlerInfo*)
      1    0.0%    0.0%  t v8::internal::ExternalStringTableCleaner::VisitRootPointers(v8::internal::Root, char const*, v8::internal::Object**, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::Builtin_Impl_ObjectGetPrototypeOf(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::StringToIntHelper::ParseInt()
      1    0.0%    0.0%  t std::__1::vector<v8::internal::compiler::Scheduler::SchedulerData, v8::internal::ZoneAllocator<v8::internal::compiler::Scheduler::SchedulerData> >::__append(unsigned long, v8::internal::compiler::Scheduler::SchedulerData const&)
      1    0.0%    0.0%  t std::__1::vector<v8::internal::SourcePosition, v8::internal::ZoneAllocator<v8::internal::SourcePosition> >::__append(unsigned long, v8::internal::SourcePosition const&)
      1    0.0%    0.0%  t std::__1::unordered_map<v8::internal::AllocationSite*, unsigned long, std::__1::hash<v8::internal::AllocationSite*>, std::__1::equal_to<v8::internal::AllocationSite*>, std::__1::allocator<std::__1::pair<v8::internal::AllocationSite* const, unsigned long> > >::operator[](v8::internal::AllocationSite*&&)
      1    0.0%    0.0%  t std::__1::locale::__imp::__imp(std::__1::locale::__imp const&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&, int)
      1    0.0%    0.0%  t std::__1::deque<int, v8::internal::RecyclingZoneAllocator<int> >::__add_back_capacity()
      1    0.0%    0.0%  t std::__1::__hash_table<std::__1::__hash_value_type<v8::internal::AllocationSite*, unsigned long>, std::__1::__unordered_map_hasher<v8::internal::AllocationSite*, std::__1::__hash_value_type<v8::internal::AllocationSite*, unsigned long>, std::__1::hash<v8::internal::AllocationSite*>, true>, std::__1::__unordered_map_equal<v8::internal::AllocationSite*, std::__1::__hash_value_type<v8::internal::AllocationSite*, unsigned long>, std::__1::equal_to<v8::internal::AllocationSite*>, true>, std::__1::allocator<std::__1::__hash_value_type<v8::internal::AllocationSite*, unsigned long> > >::__rehash(unsigned long)
      1    0.0%    0.0%  t int v8::internal::SlotSet::Iterate<v8::internal::RememberedSetUpdatingItem<v8::internal::MajorNonAtomicMarkingState>::UpdateUntypedPointers()::'lambda0'(unsigned long)>(v8::internal::RememberedSetUpdatingItem<v8::internal::MajorNonAtomicMarkingState>::UpdateUntypedPointers()::'lambda0'(unsigned long), v8::internal::SlotSet::EmptyBucketMode)
      1    0.0%    0.0%  t int v8::internal::SlotSet::Iterate<v8::internal::RememberedSetUpdatingItem<v8::internal::MajorNonAtomicMarkingState>::UpdateUntypedPointers()::'lambda'(unsigned long)>(v8::internal::RememberedSetUpdatingItem<v8::internal::MajorNonAtomicMarkingState>::UpdateUntypedPointers()::'lambda'(unsigned long), v8::internal::SlotSet::EmptyBucketMode)
      1    0.0%    0.0%  t bool v8::internal::LiveObjectVisitor::VisitBlackObjects<v8::internal::EvacuateOldSpaceVisitor, v8::internal::MajorNonAtomicMarkingState>(v8::internal::MemoryChunk*, v8::internal::MajorNonAtomicMarkingState*, v8::internal::EvacuateOldSpaceVisitor*, v8::internal::LiveObjectVisitor::IterationMode, v8::internal::HeapObject**)
      1    0.0%    0.0%  t _create_scalable_szone
      1    0.0%    0.0%  t _allocate_pages_securely
      1    0.0%    0.0%  t __pthread_mutex_lock_slow
      1    0.0%    0.0%  t __pthread_mutex_check_init_slow
      1    0.0%    0.0%  t __os_nospin_lock_unlock_slow
      1    0.0%    0.0%  t ___find_warguments
      1    0.0%    0.0%  T v8::internal::interpreter::Interpreter::IterateDispatchTable(v8::internal::RootVisitor*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.0%    0.0%  T v8::internal::compiler::Type::BitsetLub() const
      1    0.0%    0.0%  T v8::internal::compiler::Truncation::Generalize(v8::internal::compiler::Truncation::TruncationKind, v8::internal::compiler::Truncation::TruncationKind)
      1    0.0%    0.0%  T v8::internal::compiler::TopLevelLiveRange::AddUsePosition(v8::internal::compiler::UsePosition*)
      1    0.0%    0.0%  T v8::internal::compiler::SparseInputMask::InputIterator::IsEnd() const
      1    0.0%    0.0%  T v8::internal::compiler::Scheduler::DecrementUnscheduledUseCount(v8::internal::compiler::Node*, int, v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::Schedule::AddNode(v8::internal::compiler::BasicBlock*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::NodeProperties::IsEffectEdge(v8::internal::compiler::Edge)
      1    0.0%    0.0%  T v8::internal::compiler::NodeProperties::Equals(v8::internal::compiler::Node*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::LoopVariableOptimizer::VisitMerge(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::JSIntrinsicLowering::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::JSInliningHeuristic::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::JSGraph::GetCachedNodes(v8::internal::ZoneVector<v8::internal::compiler::Node*>*)
      1    0.0%    0.0%  T v8::internal::compiler::JSCreateLowering::ReduceJSCreateArguments(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::GraphReducer::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::EffectGraphReducer::ReduceFrom(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::ConstantFoldingReducer::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::Constant::Constant(int)
      1    0.0%    0.0%  T v8::internal::compiler::CommonOperatorBuilder::Parameter(int, char const*)
      1    0.0%    0.0%  T v8::internal::compiler::CodeGenerator::FinalizeCode()
      1    0.0%    0.0%  T v8::internal::compiler::CodeGenerator::AddTranslationForOperand(v8::internal::Translation*, v8::internal::compiler::Instruction*, v8::internal::compiler::InstructionOperand*, v8::internal::MachineType)
      1    0.0%    0.0%  T v8::internal::compiler::AccessInfoFactory::ComputePropertyAccessInfo(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::compiler::AccessMode, v8::internal::compiler::PropertyAccessInfo*)
      1    0.0%    0.0%  T v8::internal::Zone::New(unsigned long)
      1    0.0%    0.0%  T v8::internal::Variable::IsGlobalObjectProperty() const
      1    0.0%    0.0%  T v8::internal::V8::GetCurrentPlatform()
      1    0.0%    0.0%  T v8::internal::UnoptimizedCompilationJob::RecordCompilationStats(v8::internal::Isolate*) const
      1    0.0%    0.0%  T v8::internal::TimedHistogram::Start(v8::base::ElapsedTimer*, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::StubCache::Initialize()
      1    0.0%    0.0%  T v8::internal::StringToInt(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, int)
      1    0.0%    0.0%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
      1    0.0%    0.0%  T v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      1    0.0%    0.0%  T v8::internal::StoreBuffer::MoveEntriesToRememberedSet(int)
      1    0.0%    0.0%  T v8::internal::SpaceWithLinearArea::StartNextInlineAllocationStep()
      1    0.0%    0.0%  T v8::internal::Scope::DeclareVariable(v8::internal::Declaration*, v8::internal::VariableMode, v8::internal::InitializationFlag, bool*, bool*)
      1    0.0%    0.0%  T v8::internal::Scavenger::Finalize()
      1    0.0%    0.0%  T v8::internal::SafepointEntry::HasRegisters() const
      1    0.0%    0.0%  T v8::internal::Runtime_StringSplit(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_StringParseInt(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_RegExpExec(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::RelocIterator::RelocIterator(v8::internal::Code*, int)
      1    0.0%    0.0%  T v8::internal::PagedSpace::RefillLinearAllocationAreaFromFreeList(unsigned long)
      1    0.0%    0.0%  T v8::internal::Object::ConvertToString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      1    0.0%    0.0%  T v8::internal::Map::InstallDescriptors(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Map>, int, v8::internal::Handle<v8::internal::DescriptorArray>, v8::internal::Handle<v8::internal::LayoutDescriptor>)
      1    0.0%    0.0%  T v8::internal::LoadIC::UpdateCaches(v8::internal::LookupIterator*)
      1    0.0%    0.0%  T v8::internal::LargeObjectSpace::FindPage(unsigned long)
      1    0.0%    0.0%  T v8::internal::KeyAccumulator::IsShadowed(v8::internal::Handle<v8::internal::Object>)
      1    0.0%    0.0%  T v8::internal::JavaScriptFrameIterator::Advance()
      1    0.0%    0.0%  T v8::internal::JSArrayBuffer::SetupAllocatingData(v8::internal::Handle<v8::internal::JSArrayBuffer>, v8::internal::Isolate*, unsigned long, bool, v8::internal::SharedFlag)
      1    0.0%    0.0%  T v8::internal::JSArrayBuffer::Setup(v8::internal::Handle<v8::internal::JSArrayBuffer>, v8::internal::Isolate*, bool, void*, unsigned long, v8::internal::SharedFlag, bool)
      1    0.0%    0.0%  T v8::internal::IncrementalMarking::RecordWriteFromCode(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::IdentityMapBase::Resize(int)
      1    0.0%    0.0%  T v8::internal::IdentityMapBase::LookupOrInsert(v8::internal::Object*)
      1    0.0%    0.0%  T v8::internal::Heap::ShouldOptimizeForLoadTime()
      1    0.0%    0.0%  T v8::internal::Heap::SelectGarbageCollector(v8::internal::AllocationSpace, char const**)
      1    0.0%    0.0%  T v8::internal::Heap::GcSafeFindCodeForInnerPointer(unsigned long)
      1    0.0%    0.0%  T v8::internal::Heap::GarbageCollectionPrologue()
      1    0.0%    0.0%  T v8::internal::Heap::CommittedMemory()
      1    0.0%    0.0%  T v8::internal::Heap::CollectGarbage(v8::internal::AllocationSpace, v8::internal::GarbageCollectionReason, v8::GCCallbackFlags)
      1    0.0%    0.0%  T v8::internal::Heap::CheckMemoryPressure()
      1    0.0%    0.0%  T v8::internal::Heap::AllocateRawWithLigthRetry(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      1    0.0%    0.0%  T v8::internal::GCTracer::Stop(v8::internal::GarbageCollector)
      1    0.0%    0.0%  T v8::internal::GCTracer::Output(char const*, ...) const
      1    0.0%    0.0%  T v8::internal::GCTracer::BackgroundScope::BackgroundScope(v8::internal::GCTracer*, v8::internal::GCTracer::BackgroundScope::ScopeId)
      1    0.0%    0.0%  T v8::internal::Factory::NewNumber(double, v8::internal::PretenureFlag)
      1    0.0%    0.0%  T v8::internal::Factory::NewFillerObject(int, bool, v8::internal::AllocationSpace)
      1    0.0%    0.0%  T v8::internal::Factory::InitializeJSObjectFromMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Map>)
      1    0.0%    0.0%  T v8::internal::Debug::Iterate(v8::internal::RootVisitor*)
      1    0.0%    0.0%  T v8::internal::CanonicalHandleScope::Lookup(v8::internal::Object*)
      1    0.0%    0.0%  T v8::internal::Builtins::IterateBuiltins(v8::internal::RootVisitor*)
      1    0.0%    0.0%  T v8::internal::Builtin_ObjectGetPrototypeOf(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::AccountingAllocator::GetSegment(unsigned long)
      1    0.0%    0.0%  T v8::base::Thread::GetThreadLocal(int)
      1    0.0%    0.0%  T v8::base::OS::CommitPageSize()
      1    0.0%    0.0%  T v8::Object::Get(unsigned int)
      1    0.0%    0.0%  T v8::External::Value() const
      1    0.0%    0.0%  T v8::ArrayBufferView::ByteOffset()
      1    0.0%    0.0%  T v8::ArrayBufferView::Buffer()
      1    0.0%    0.0%  T std::__1::basic_istream<wchar_t, std::__1::char_traits<wchar_t> >::ignore(long, int)
      1    0.0%    0.0%  T node::performance::MarkGarbageCollectionEnd(v8::Isolate*, v8::GCType, v8::GCCallbackFlags, void*)
      1    0.0%    0.0%  T node::NodePlatform::IdleTasksEnabled(v8::Isolate*)
      1    0.0%    0.0%  T _setbuffer
      1    0.0%    0.0%  T _scanf
      1    0.0%    0.0%  T _scalable_zone_statistics
      1    0.0%    0.0%  T _getpid
      1    0.0%    0.0%  T _catgets
      1    0.0%    0.0%  T __pthread_qos_class_decode
      1    0.0%    0.0%  T ___mmap

 [Summary]:
   ticks  total  nonlib   name
  220081   92.7%   92.7%  JavaScript
  17144    7.2%    7.2%  C++
    984    0.4%    0.4%  GC
     10    0.0%          Shared libraries
    256    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
  13516   83.6%    5.7%  T v8::internal::Builtin_ArrayUnshift(int, v8::internal::Object**, v8::internal::Isolate*)
   1172    7.3%    0.5%  T v8::internal::Builtin_TypedArrayPrototypeBuffer(int, v8::internal::Object**, v8::internal::Isolate*)
    631    3.9%    0.3%  T v8::internal::Builtin_ArrayBufferConstructor(int, v8::internal::Object**, v8::internal::Isolate*)
    502    3.1%    0.2%  T __simple_dprintf
     49    0.3%    0.0%  T v8::internal::Runtime_StackGuard(int, v8::internal::Object**, v8::internal::Isolate*)
     42    0.3%    0.0%  T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     36    0.2%    0.0%  T v8::internal::Runtime_AllocateInNewSpace(int, v8::internal::Object**, v8::internal::Isolate*)
     25    0.2%    0.0%  T v8::internal::Runtime_CompileOptimized_Concurrent(int, v8::internal::Object**, v8::internal::Isolate*)
     21    0.1%    0.0%  T v8::internal::Runtime_CompileForOnStackReplacement(int, v8::internal::Object**, v8::internal::Isolate*)
     21    0.1%    0.0%  T v8::ArrayBuffer::GetContents()
     16    0.1%    0.0%  T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
     15    0.1%    0.0%  T v8::internal::Map::FindRootMap() const
     13    0.1%    0.0%  T v8::internal::Builtin_ObjectGetPrototypeOf(int, v8::internal::Object**, v8::internal::Isolate*)
     10    0.1%    0.0%  T v8::internal::JSTypedArray::GetBuffer()
      9    0.1%    0.0%  t node::Buffer::(anonymous namespace)::Copy(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.0%    0.0%  T v8::internal::Runtime_CompileOptimized_NotConcurrent(int, v8::internal::Object**, v8::internal::Isolate*)
      7    0.0%    0.0%  T v8::internal::Runtime_StringParseInt(int, v8::internal::Object**, v8::internal::Isolate*)
      6    0.0%    0.0%  t __enlarge
      6    0.0%    0.0%  T v8::Value::IsExternal() const
      5    0.0%    0.0%  t node::(anonymous namespace)::IsAnyArrayBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.0%    0.0%  T v8::Value::IsArrayBuffer() const
      4    0.0%    0.0%  T v8::Value::IsArrayBufferView() const
      3    0.0%    0.0%  T v8::internal::Runtime_Interrupt(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.0%    0.0%  T v8::internal::Runtime_InterpreterDeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.0%    0.0%  T v8::ArrayBufferView::ByteLength()
      2    0.0%    0.0%  t node::fs::WriteBuffers(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  T v8::internal::Runtime_StoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.0%    0.0%  T v8::internal::Runtime_LoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.0%    0.0%  T v8::internal::Runtime_KeyedStoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.0%    0.0%  T v8::Value::IsNumber() const
      2    0.0%    0.0%  T v8::Integer::Value() const
      2    0.0%    0.0%  T _write$NOCANCEL
      1    0.0%    0.0%  T v8::internal::Runtime_StringSplit(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_RegExpExec(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_PushBlockContext(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_NotifyDeoptimized(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_NewObject(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_KeyedLoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_DeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      1    0.0%    0.0%  T v8::internal::IncrementalMarking::RecordWriteFromCode(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Builtin_ObjectDefineProperties(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::base::Thread::GetThreadLocal(int)
      1    0.0%    0.0%  T v8::Object::Get(unsigned int)
      1    0.0%    0.0%  T v8::External::Value() const
      1    0.0%    0.0%  T v8::ArrayBufferView::ByteOffset()
      1    0.0%    0.0%  T v8::ArrayBufferView::Buffer()
      1    0.0%    0.0%  T ___psynch_mutexwait

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  171330   72.1%  LazyCompile: *locateToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:43:39
  171330  100.0%    LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
  171330  100.0%      LazyCompile: ~Transform._read _stream_transform.js:185:37
  171330  100.0%        LazyCompile: ~Transform._write _stream_transform.js:168:38
  171330  100.0%          LazyCompile: ~doWrite _stream_writable.js:400:17
  171330  100.0%            LazyCompile: ~writeOrBuffer _stream_writable.js:360:23

  28644   12.1%  LazyCompile: *slide /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:50:26
  14558   50.8%    LazyCompile: ~_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
  14558  100.0%      LazyCompile: ~Transform._read _stream_transform.js:185:37
  14558  100.0%        LazyCompile: ~Transform._write _stream_transform.js:168:38
  14558  100.0%          LazyCompile: ~doWrite _stream_writable.js:400:17
  14558  100.0%            LazyCompile: ~writeOrBuffer _stream_writable.js:360:23
  14086   49.2%    LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
  14086  100.0%      LazyCompile: ~Transform._read _stream_transform.js:185:37
  14079  100.0%        LazyCompile: ~Transform._write _stream_transform.js:168:38
  14079  100.0%          LazyCompile: ~doWrite _stream_writable.js:400:17
  14079  100.0%            LazyCompile: ~writeOrBuffer _stream_writable.js:360:23

  15875    6.7%  LazyCompile: *findNextLargestToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:27:57
  15875  100.0%    LazyCompile: ~locateToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:43:39
  11017   69.4%      LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
  11017  100.0%        LazyCompile: ~Transform._read _stream_transform.js:185:37
  11017  100.0%          LazyCompile: ~Transform._write _stream_transform.js:168:38
  11017  100.0%            LazyCompile: ~doWrite _stream_writable.js:400:17
   4858   30.6%      LazyCompile: ~slide /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:50:26
   4858  100.0%        LazyCompile: ~_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
   4858  100.0%          LazyCompile: ~Transform._read _stream_transform.js:185:37
   4858  100.0%            LazyCompile: ~Transform._write _stream_transform.js:168:38

   8063    3.4%  t _hex
   8063  100.0%    T v8::internal::Builtin_ArrayUnshift(int, v8::internal::Object**, v8::internal::Isolate*)
   6154   76.3%      LazyCompile: *locateToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:43:39
   6154  100.0%        LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
   6154  100.0%          LazyCompile: ~Transform._read _stream_transform.js:185:37
   6154  100.0%            LazyCompile: ~Transform._write _stream_transform.js:168:38
   1164   14.4%      LazyCompile: *slide /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:50:26
    619   53.2%        LazyCompile: ~_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
    619  100.0%          LazyCompile: ~Transform._read _stream_transform.js:185:37
    619  100.0%            LazyCompile: ~Transform._write _stream_transform.js:168:38
    545   46.8%        LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
    545  100.0%          LazyCompile: ~Transform._read _stream_transform.js:185:37
    544   99.8%            LazyCompile: ~Transform._write _stream_transform.js:168:38
    743    9.2%      LazyCompile: *findNextLargestToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:27:57
    743  100.0%        LazyCompile: ~locateToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:43:39
    414   55.7%          LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
    414  100.0%            LazyCompile: ~Transform._read _stream_transform.js:185:37
    329   44.3%          LazyCompile: ~slide /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:50:26
    329  100.0%            LazyCompile: ~_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31

